strike,call_symbol,put_symbol,call_oi,put_oi,call_volume,put_volume,call_iv,put_iv,call_bid,put_bid,call_ask,put_ask,call_last,put_last,call_gex,put_gex,total_gex,volume,probability
50,NVDA260710C00050000,NVDA260710P00050000,11,0,6,0,6.0000025,0.500005,150.85,0,152.2,0,151.93,0.01,0,0,0,6,0.01
55,NVDA260710C00055000,NVDA260710P00055000,17,0,6,0,10.363284772949221,0.500005,145.15,0,148.6,0,147.04,0.01,225,0,225,6,3.77
60,NVDA260710C00060000,NVDA260710P00060000,4,201,8,1,9.83984760009766,5.000003749999999,140.2,0,143.7,0.01,141.63,0.01,200,-10045,-9845,9,19.41
65,NVDA260710C00065000,NVDA260710P00065000,31,147,19,0,9.169926143798827,4.62500421875,135.2,0,138.65,0.01,136.73,0.01,1468,-6963,-5495,19,17.1
70,NVDA260710C00070000,NVDA260710P00070000,39,1600,15,1268,9.0625043359375,4.375004531249999,129.6,0,134.05,0.01,130.15,0.01,1970,-80813,-78843,1283,17.76
75,NVDA260710C00075000,NVDA260710P00075000,6,722,10,1,8.523442172851562,4.12500484375,124.7,0,129.05,0.01,126.82,0.01,298,-35850,-35552,11,16.44
80,NVDA260710C00080000,NVDA260710P00080000,2,2726,14,2550,8.021489361572264,3.8750003125,119.65,0,124.05,0.01,121.88,0.01,98,-133093,-132995,2564,15.2
85,NVDA260710C00085000,NVDA260710P00085000,6,3843,24,3800,7.551758372802734,3.6250009375000003,114.95,0,119.05,0.01,116.98,0.01,288,-184479,-184191,3824,14.04
90,NVDA260710C00090000,NVDA260710P00090000,2,1289,22,87,4.359379550781249,3.3750015624999996,110.7,0,113.85,0.01,111.87,0.01,23,-14869,-14846,109,2.33
95,NVDA260710C00095000,NVDA260710P00095000,51,1007,8,1,6.693361008300783,3.1250021875,105.2,0,109.05,0.01,107.19,0.01,2363,-46650,-44287,9,11.9
100,NVDA260710C00100000,NVDA260710P00100000,75,16131,51,1,4.824222719726562,2.93750265625,100.55,0,102.65,0.01,101.28,0.01,1671,-359422,-357751,52,4.53
105,NVDA260710C00105000,NVDA260710P00105000,9,7735,60,2,5.046878691406249,2.750003125,96,0,98.05,0.01,96.48,0.01,275,-236434,-236159,62,6.24
110,NVDA260710C00110000,NVDA260710P00110000,28,5355,18,3,0.000010000000000000003,2.56250359375,91.1,0,92.15,0.01,91.48,0.01,0,0,0,21,0
