strike,call_oi,put_oi,call_gex,put_gex,total_gex,volume,probability
503,4676,4541,22220,-45336,-23116,3290,14.32
508,5307,4597,31587,-44715,-13128,3674,20.05
513,4956,4014,35445,-38014,-2569,2438,27.17
518,4906,5082,40975,-46824,-5849,2071,35.68
523,6574,6333,62795,-56724,6071,4402,45.38
528,7401,6797,79576,-59136,20440,5362,55.9
533,7214,6478,86222,-54698,31524,4073,66.7
538,6674,6412,87776,-52495,35281,2310,77.09
543,8441,7932,121145,-62903,58242,5266,86.3
548,9456,8804,147060,-67558,79502,6939,93.58
553,9447,8841,158256,-65573,92683,5858,98.29
558,8692,8248,156039,-59058,96981,2958,100
563,9303,8462,156737,-62588,94149,5311,98.54
568,9479,8749,148327,-66957,81370,6889,94.06
573,8641,8245,124845,-65216,59629,5741,86.96
578,6965,6963,92272,-56863,35409,2861,77.88
583,7047,6005,84902,-50581,34321,3570,67.55
588,7388,6567,80145,-57000,23145,5184,56.76
593,6745,6473,65076,-57845,7231,4706,46.19
598,5189,5543,43837,-50957,-7120,2526,36.41
603,4771,3993,34580,-37733,-3153,2154,27.8
608,5260,4224,31812,-41000,-9188,3422,20.56
613,4815,4495,23343,-44784,-21441,3428,14.73
