strike,call_symbol,put_symbol,call_oi,put_oi,call_volume,put_volume,call_iv,put_iv,call_bid,put_bid,call_ask,put_ask,call_last,put_last,call_gex,put_gex,total_gex,volume,probability
5,SPCX260807C00005000,SPCX260807P00005000,1,10,1,1,22.921877836914064,11.000003125000001,108.95,0,112.2,0.01,108.12,0.01,60,-596,-536,2,74.82
10,,SPCX260807P00010000,0,41,0,28,0,8.500004687499999,0,0,0,0.01,0,0.01,0,-2275,-2275,28,34.92
15,,SPCX260807P00015000,0,4,0,1,0,7.00000125,0,0,0,0.01,0,0.01,0,-189,-189,1,24.5
20,SPCX260807C00020000,SPCX260807P00020000,1,3,4,2,0.500005,6.0000025,93.35,0,94.6,0.01,95.85,0.2,1,-3,-2,6,0.28
30,,SPCX260807P00030000,0,7,0,4,0,4.62500421875,0,0,0,0.01,0,0.05,0,-200,-200,4,9.78
45,SPCX260807C00045000,,0,0,1,0,6.691407885742189,0,68.5,0,72.95,0,66.85,0,0,0,0,1,47.16
50,SPCX260807C00050000,SPCX260807P00050000,0,489,31,146,6.017580603027343,2.93750265625,63.4,0,68.05,0.01,64.58,0.02,0,-34737,-34737,177,23.54
55,SPCX260807C00055000,SPCX260807P00055000,2,1755,33,2,5.5175812280273435,2.6250034375,58.75,0,62.9,0.01,59.58,0.01,150,-131376,-131226,35,22.56
60,,SPCX260807P00060000,0,5980,0,41,0,2.3125042187499996,0,0,0,0.01,0,0.01,0,-72625,-72625,41,2.08
65,,SPCX260807P00065000,0,9770,0,568,0,2.0625048437499998,0,0,0,0.01,0,0.01,0,-115087,-115087,568,1.8
66,SPCX260807C00066000,SPCX260807P00066000,4,7653,13,450,4.790043074951171,1.96875015625,48.5,0,52.3,0.01,50.39,0.01,380,-727011,-726631,463,23.76
67,SPCX260807C00067000,SPCX260807P00067000,6,792,6,156,3.699219501953125,1.9375003125,47.05,0,49.5,0.01,50.31,0.01,396,-52315,-51919,162,13.78
68,,SPCX260807P00068000,0,558,0,198,0,1.875000625,0,0,0,0.01,0,0.01,0,-5500,-5500,198,1.37
69,SPCX260807C00069000,SPCX260807P00069000,3,1075,4,191,2.44531638671875,2.031254921875,44.5,0,46.85,0.03,43.91,0.01,101,-36284,-36183,195,5.59
70,SPCX260807C00070000,SPCX260807P00070000,3,9086,4,845,4.029301838378906,1.984375078125,44.65,0,47.2,0.03,42.96,0.01,292,-885120,-884828,849,21.68
71,,SPCX260807P00071000,0,1697,0,189,0,1.8437507812499998,0,0,0,0.02,0,0.01,0,-25540,-25540,189,2.05
72,,SPCX260807P00072000,0,811,0,68,0,1.9375003125,0,0,0,0.04,0,0.01,0,-19663,-19663,68,3.48
73,,SPCX260807P00073000,0,733,0,105,0,1.8281258593749998,0,0.01,0,0.02,0,0.01,0,-14833,-14833,105,2.74
74,,SPCX260807P00074000,0,931,0,536,0,1.875000625,0,0.01,0,0.04,0,0.02,0,-25809,-25809,536,3.85
75,SPCX260807C00075000,SPCX260807P00075000,7,7262,19,2517,3.1054709863281245,1.78125109375,38.8,0.01,40.35,0.03,39.82,0.02,624,-647267,-646643,2536,16.12
76,,SPCX260807P00076000,0,1639,0,103,0,1.734376328125,0,0.01,0,0.03,0,0.03,0,-40872,-40872,103,3.2
77,SPCX260807C00077000,SPCX260807P00077000,2,1277,7,17,3.3750015624999996,1.71875140625,36.5,0.02,41.3,0.03,35.15,0.02,233,-148986,-148753,24,22
78,SPCX260807C00078000,SPCX260807P00078000,3,1173,74,141,3.5605479736328123,1.703126484375,36.05,0.02,40.6,0.04,34.65,0.03,402,-157073,-156671,215,26.09
79,,SPCX260807P00079000,0,2328,0,367,0,1.6875015625,0,0.02,0,0.05,0,0.03,0,-84610,-84610,367,4.54
80,SPCX260807C00080000,SPCX260807P00080000,951,15098,12,3634,2.6250034375,1.6328143359374998,34.3,0.03,36.2,0.04,34.76,0.03,96295,-1528773,-1432478,3646,15.96
81,SPCX260807C00081000,SPCX260807P00081000,4,1368,7,329,3.276368996582031,1.609376953125,33.55,0.03,37.05,0.05,35.72,0.06,594,-203218,-202624,336,26.86
82,SPCX260807C00082000,SPCX260807P00082000,4,689,6,116,2.9814478588867184,1.5781271093749998,32.05,0.04,35.85,0.05,34.82,0.04,573,-98615,-98042,122,24.15
83,SPCX260807C00083000,SPCX260807P00083000,8,1442,16,506,2.740237524414063,1.5234398828124998,31,0.04,34.4,0.05,31.65,0.05,1101,-198537,-197436,522,21.73
84,SPCX260807C00084000,SPCX260807P00084000,6,1402,6,619,2.488285029296875,1.5156274218749999,30.65,0.05,32.25,0.06,30.75,0.06,799,-186611,-185812,625,19.72
85,SPCX260807C00085000,SPCX260807P00085000,941,12494,208,6049,2.0058643603515627,1.5000025,29.2,0.06,30.75,0.07,30.21,0.06,100013,-1327906,-1227893,6257,13.79
86,SPCX260807C00086000,SPCX260807P00086000,45,1896,80,1528,2.355472861328124,1.4882838085937498,28.6,0.07,30.35,0.09,29.83,0.08,6790,-286095,-279305,1608,21.47
87,SPCX260807C00087000,SPCX260807P00087000,5,2513,13,483,2.771487446289063,1.4609401953124999,27.6,0.08,31.05,0.1,28.61,0.1,979,-492032,-491053,496,30.67
88,SPCX260807C00088000,SPCX260807P00088000,14,1917,18,717,1.859375703125,1.453127734375,26.15,0.1,27.9,0.12,22.51,0.11,1902,-260499,-258597,735,16.66
89,SPCX260807C00089000,SPCX260807P00089000,232,13339,229,13336,2.050786123046875,1.4179716601562502,25.35,0.11,27.35,0.13,21.72,0.11,39770,-2286627,-2246857,13565,22.01
90,SPCX260807C00090000,SPCX260807P00090000,1254,43238,355,26954,1.927734736328125,1.40625296875,24.75,0.14,25.8,0.15,27,0.14,223803,-7716755,-7492952,27309,22.02
91,SPCX260807C00091000,SPCX260807P00091000,65,979,6,736,2.2285200537109366,1.3906280468749999,23.65,0.16,26.15,0.18,25.74,0.17,14884,-224181,-209297,742,30.67
92,SPCX260807C00092000,SPCX260807P00092000,104,3849,21,1531,2.138676528320312,1.3808624707031247,22.65,0.2,25.1,0.21,24.76,0.2,25382,-939377,-913995,1552,31.79
93,SPCX260807C00093000,SPCX260807P00093000,89,2267,7,1452,2.1591842895507813,1.3476595117187498,21.8,0.22,24.35,0.23,21.35,0.23,23890,-608533,-584643,1459,34.84
94,SPCX260807C00094000,SPCX260807P00094000,11,2765,21,2462,1.9091801416015626,1.3476595117187498,20.5,0.27,22.95,0.29,23.4,0.28,3002,-754516,-751514,2483,32.89
95,SPCX260807C00095000,SPCX260807P00095000,249,33800,21,20874,1.3300814746093748,1.3300814746093748,19.25,0.32,20.6,0.33,20.12,0.33,55938,-7593204,-7537266,20895,22.12
96,SPCX260807C00096000,SPCX260807P00096000,45,2409,26,1304,1.5332054589843749,1.3281283593749997,19,0.38,19.6,0.41,21.41,0.4,13130,-702908,-689778,1330,30.9
97,SPCX260807C00097000,SPCX260807P00097000,71,3180,17,2754,1.2519568652343749,1.3203158984374999,17.3,0.46,18.65,0.48,20.47,0.47,20302,-909296,-888994,2771,27.22
98,SPCX260807C00098000,SPCX260807P00098000,59,3313,6,2798,1.4248075634765625,1.29297228515625,16.8,0.51,17.9,0.54,18.92,0.53,20797,-1167818,-1147021,2804,35.46
99,SPCX260807C00099000,SPCX260807P00099000,104,1995,120,2721,1.197269638671875,1.291019169921875,15.5,0.62,16.65,0.64,16.77,0.66,37878,-726594,-688716,2841,33.54
100,SPCX260807C00100000,SPCX260807P00100000,4655,50158,585,53427,1.1943399658203124,1.2753942480468747,14.6,0.71,15.75,0.74,15,0.74,1928077,-20775189,-18847112,54012,37.86
101,SPCX260807C00101000,SPCX260807P00101000,151,3618,34,2139,1.562013908691406,1.2685583447265623,14.35,0.84,15.95,0.86,16.2,0.86,75880,-1818108,-1742228,2173,52.65
102,SPCX260807C00102000,SPCX260807P00102000,79,1540,26,3727,1.115238798828125,1.2939488427734374,12.75,1.06,13.8,1.08,15,1.05,41426,-807540,-766114,3753,46.76
103,SPCX260807C00103000,SPCX260807P00103000,239,1917,40,2139,1.2324257128906249,1.2587927685546876,12.45,1.15,12.95,1.18,13.25,1.15,141889,-1138083,-996194,2179,54.74
104,SPCX260807C00104000,SPCX260807P00104000,214,1079,29,2560,1.1962930810546877,1.26172244140625,11.6,1.36,12,1.39,12.68,1.35,140289,-707347,-567058,2589,59.64
105,SPCX260807C00105000,SPCX260807P00105000,2181,20812,444,13249,1.2353553857421873,1.2524451440429685,10.95,1.56,11.3,1.59,12.11,1.55,1565929,-14942739,-13376810,13693,66.11
106,SPCX260807C00106000,SPCX260807P00106000,505,1808,247,1760,1.1547893823242186,1.2504920288085937,9.95,1.8,10.3,1.84,10.97,1.8,397635,-1423611,-1025976,2007,70.1
