strike,call_oi,put_oi,call_gex,put_gex,total_gex,volume,probability
577,3012,4522,14168,-45192,-31024,1260,14.12
582,4711,4578,27814,-44577,-16763,2829,19.79
587,5864,3995,41658,-37875,3783,3735,26.86
592,5998,5063,49807,-46700,3107,3713,35.31
597,5315,6314,50514,-56619,-6105,2306,44.97
602,6530,6778,69897,-59040,10857,3722,55.47
607,7852,6459,93470,-54604,38866,5344,66.27
612,8180,6393,107191,-52405,54786,5138,76.69
617,7613,7913,108896,-62833,46063,3547,85.96
622,8329,8785,129133,-67503,61630,4320,93.33
627,9803,8822,163749,-65523,98226,6774,98.16
632,10329,8229,184930,-59006,125924,6786,99.99
637,8961,8481,151405,-62642,88763,4487,98.66
642,8158,8768,128048,-67012,61036,3780,94.29
647,8748,8264,126811,-65281,61530,5953,87.29
652,8453,6982,112391,-56946,55445,5783,78.27
657,7159,6024,86595,-50679,35916,3746,67.98
662,5860,6586,63851,-57097,6754,2402,57.19
667,6560,6492,63606,-57948,5658,4338,46.6
672,6458,5562,54867,-51075,3792,4559,36.78
677,5336,4011,38931,-37862,1069,2884,28.12
682,3556,4243,21677,-41141,-19464,1263,20.83
687,4343,4514,21263,-44927,-23664,2758,14.94
