strike,call_symbol,put_symbol,call_oi,put_oi,call_volume,put_volume,call_iv,put_iv,call_bid,put_bid,call_ask,put_ask,call_last,put_last,call_gex,put_gex,total_gex,volume,probability
450,SPY260710C00450000,SPY260710P00450000,5,2001,1,10,4.626957341308594,2.81250296875,301.32,0,304.12,0.01,301.24,0.01,303,-121156,-120853,11,11.79
455,,SPY260710P00455000,0,1291,0,5,0,2.750003125,0,0,0,0.01,0,0.01,0,-20391,-20391,5,2.27
460,,SPY260710P00460000,0,574,0,1,0,2.68750328125,0,0,0,0.01,0,0.01,0,-8857,-8857,1,2.17
465,,SPY260710P00465000,0,526,0,242,0,2.6250034375,0,0,0,0.01,0,0.02,0,-7914,-7914,242,2.07
470,,SPY260710P00470000,0,361,0,5,0,2.56250359375,0,0,0,0.01,0,0.02,0,-5284,-5284,5,1.96
475,,SPY260710P00475000,0,1060,0,352,0,2.50000375,0,0,0,0.01,0,0.01,0,-15060,-15060,352,1.86
480,SPY260710C00480000,SPY260710P00480000,0,1555,0,55,4.134770456542969,2.50000375,271.34,0,274.16,0.01,269.25,0.02,0,-100970,-100970,55,11.27
485,,SPY260710P00485000,0,1639,0,1395,0,2.43750390625,0,0,0,0.01,0,0.01,0,-26104,-26104,1395,2.03
490,,SPY260710P00490000,0,4067,0,1395,0,2.3750040624999995,0,0,0,0.01,0,0.01,0,-62844,-62844,1395,1.92
495,SPY260710C00495000,SPY260710P00495000,0,1309,0,1095,3.8847659130859373,2.3125042187499996,256.35,0,259.16,0.01,230.27,0.01,0,-86390,-86390,1095,10.7
500,SPY260710C00500000,SPY260710P00500000,2,362,1,25,3.8027348681640625,2.2500043749999996,251.34,0,254.16,0.01,251.2,0.01,133,-24021,-23888,26,10.51
505,,SPY260710P00505000,0,242,0,1,0,2.1875045312499997,0,0,0,0.01,0,0.01,0,-3355,-3355,1,1.59
510,,SPY260710P00510000,0,147,0,49,0,2.1875045312499997,0,0,0,0.01,0,0.01,0,-2404,-2404,49,1.87
515,,SPY260710P00515000,0,200,0,57,0,2.1250046874999997,0,0,0,0.01,0,0.01,0,-3152,-3152,57,1.75
520,SPY260710C00520000,SPY260710P00520000,2,428,2,395,3.4560560473632815,2.0625048437499998,231.32,0,234.12,0.01,227.79,0.01,139,-29745,-29606,397,10.04
525,SPY260710C00525000,SPY260710P00525000,2,855,2,1395,3.3769546826171872,2.000005,226.34,0,229.12,0.01,223,0.01,140,-59778,-59638,1397,9.84
530,SPY260710C00530000,SPY260710P00530000,2,1021,2,995,3.323243879394531,1.9375003125,221.34,0,224.16,0.01,218.1,0.01,143,-73061,-72918,997,9.85
535,SPY260710C00535000,SPY260710P00535000,0,697,2,6,3.2285175537109367,1.9062504687500001,216.31,0,219.13,0.01,214.3,0.01,0,-50724,-50724,8,9.78
540,,SPY260710P00540000,0,16356,0,2,0,1.875000625,0,0,0,0.01,0,0.01,0,-259726,-259726,2,1.56
545,,SPY260710P00545000,0,766,0,1,0,1.8125009374999999,0,0,0,0.01,0,0.02,0,-11551,-11551,1,1.43
550,,SPY260710P00550000,0,69,0,5,0,1.75000125,0,0,0,0.01,0,0.01,0,-982,-982,5,1.3
555,SPY260710C00555000,SPY260710P00555000,0,78,1,25,2.9414088964843748,1.71875140625,196.35,0,199.16,0.01,196.07,0.01,0,-6229,-6229,26,9.74
560,SPY260710C00560000,SPY260710P00560000,0,7139,0,1,2.8398466503906246,1.6875015625,191.29,0,194.11,0.01,181.3,0.01,0,-577643,-577643,1,9.59
565,SPY260710C00565000,SPY260710P00565000,6,82,0,70,2.739260964355469,1.625001875,186.41,0,189.06,0.01,181.49,0.02,479,-6549,-6070,70,9.12
570,,SPY260710P00570000,0,872,0,12,0,1.5625021874999998,0,0,0,0.01,0,0.02,0,-12764,-12764,12,1.2
575,SPY260710C00575000,SPY260710P00575000,1,5561,1,2,2.6445346386718755,1.5312523437499999,176.34,0,179.16,0.01,170.86,0.01,88,-487731,-487643,3,9.58
580,,SPY260710P00580000,0,5659,0,13,0,1.5000025,0,0,0,0.01,0,0.01,0,-98580,-98580,13,1.37
585,,SPY260710P00585000,0,2911,0,101,0,1.4375028125,0,0,0,0.01,0,0.01,0,-47142,-47142,101,1.22
590,SPY260710C00590000,SPY260710P00590000,1,1382,4,157,2.426761745605469,1.3750031249999999,161.34,0,164.16,0.01,144.33,0.01,94,-129449,-129355,161,9.32
595,SPY260710C00595000,SPY260710P00595000,25,2673,50,3,2.3369182202148426,1.3437532812499997,156.34,0,159.12,0.01,140.09,0.01,2404,-257057,-254653,53,9.26
600,SPY260710C00600000,SPY260710P00600000,59,1707,4,2,0.000010000000000000003,1.3125034374999998,151.36,0,152.8,0.01,145.1,0.01,0,0,0,6,0
605,SPY260710C00605000,SPY260710P00605000,1,459,2,11,2.216801333007812,1.2500037499999999,146.46,0,149.17,0.01,146.52,0.01,105,-48078,-47973,13,9.5
610,SPY260710C00610000,SPY260710P00610000,7,1578,5,1,2.133793728027343,1.21875390625,141.33,0,144.14,0.01,142.47,0.01,761,-171555,-170794,6,9.54
615,SPY260710C00615000,SPY260710P00615000,1,1255,1,22,2.063481403808593,1.15625421875,136.31,0,139.14,0.01,128,0.01,111,-138817,-138706,23,9.32
620,SPY260710C00620000,SPY260710P00620000,4,8443,1,9,2.0058643603515627,1.125004375,131.35,0,134.17,0.01,128.73,0.01,474,-1001174,-1000700,10,9.72
625,SPY260710C00625000,SPY260710P00625000,18,1594,31,1,1.9238285058593751,1.09375453125,126.32,0,129.14,0.01,124.29,0.01,2229,-197380,-195151,32,9.78
630,SPY260710C00630000,SPY260710P00630000,7,1228,2,20,1.8662116064453125,1.0312548437500002,121.38,0,124.17,0.01,119.71,0.01,899,-157729,-156830,22,9.74
635,SPY260710C00635000,SPY260710P00635000,8,1307,1,26,1.7963877368164063,0.98437515625,116.46,0,119.17,0.01,112.58,0.01,1072,-175159,-174087,27,9.75
640,SPY260710C00640000,SPY260710P00640000,20,2207,1,15,1.7236341943359377,0.9531254687499999,111.39,0,114.16,0.01,102.85,0.01,2851,-314572,-311721,16,9.99
645,SPY260710C00645000,SPY260710P00645000,1,611,5,50,1.6547868823242187,0.9062509375,106.34,0,109.16,0.01,104.12,0.01,150,-91421,-91271,55,10.03
650,SPY260710C00650000,SPY260710P00650000,33,3927,76,20,1.5830098974609372,0.87500125,101.34,0,104.15,0.01,101.27,0.01,5293,-629854,-624561,96,10.32
651,,SPY260710P00651000,0,607,0,16,0,0.85937640625,0,0,0,0.01,0,0.01,0,-14177,-14177,16,1.05
652,SPY260710C00652000,SPY260710P00652000,17,1242,48,260,1.562013908691406,0.8437515624999999,99.4,0,102.17,0.01,99.43,0.01,2761,-201752,-198991,308,10.23
653,SPY260710C00653000,SPY260710P00653000,22,2252,57,150,1.5283226708984374,0.8437515624999999,98.31,0,101.11,0.01,98.43,0.01,3556,-363977,-360421,207,10.03
