strike,call_oi,put_oi,call_gex,put_gex,total_gex,volume,probability
288,4798,4973,23261,-49546,-26285,3029,14.73
293,6035,5034,36500,-48862,-12362,4200,20.56
298,6136,4400,44474,-41579,2895,3489,27.8
303,5349,5561,45188,-51123,-5935,2084,36.41
308,6830,6920,65896,-61840,4056,3929,46.19
313,8259,7423,89594,-64430,25164,5882,56.76
318,8573,7077,103288,-59610,43678,5461,67.55
323,7909,7005,104778,-57206,47572,3303,77.88
328,8837,8656,127677,-68467,59210,4531,86.96
333,10440,9603,163365,-73492,89873,7343,94.06
338,10974,9643,184890,-71323,113567,7483,98.54
343,10411,8958,186898,-64142,122756,4855,100
348,9648,9150,161623,-67865,93758,4329,98.29
353,10271,9462,159735,-72608,87127,6976,93.58
358,9892,8914,141970,-70690,71280,7013,86.3
363,8409,7522,110595,-61582,49013,4430,77.09
368,7091,6481,84752,-54723,30029,2717,66.7
373,7844,7092,84339,-61702,22637,5031,55.9
378,7681,6989,73369,-62600,10769,5554,45.38
383,6385,5979,53328,-55088,-1760,3747,35.68
388,4527,4295,32377,-40675,-8298,1493,27.17
393,5383,4546,32040,-44219,-12179,3143,20.05
398,5428,4841,25794,-48331,-22537,3901,14.32
